model,space,n_seeds,silhouette,davies_bouldin,calinski_harabasz,knn_acc,knn_macro_f1,trustworthiness
pretrained,ORIGINAL (1024-d),1,-0.05802695080637932,24.707082307875424,4.709049664746773,0.2928483353884094,0.25796843563094035,
pretrained,PCA (2-d),1,-0.07545642554759979,58.631332409781784,4.981849684827075,,,0.9420717622574444
pretrained,t-SNE (2-d),5,-0.04698585346341133,35.12604088394967,5.311193366820122,,,0.982879155772461
pretrained,UMAP (2-d),5,-0.06685678362846374,24.189088862854224,4.384021694469067,,,0.9756442903233358
single_ft,ORIGINAL (1024-d),1,0.0023453242611140013,8.043855257519864,52.05497488413824,0.5135635018495684,0.4739475365530165,
single_ft,PCA (2-d),1,-0.1006922796368599,18.04402247999661,154.57800165030645,,,0.8150897076189018
single_ft,t-SNE (2-d),5,-0.041951248049736024,9.598997482177387,180.26675231848986,,,0.9665538159365678
single_ft,UMAP (2-d),5,-0.05354196801781654,22.77429481121421,126.84493465536937,,,0.9555139781628503
context_aware,ORIGINAL (1024-d),1,0.07823958247900009,3.125057968692769,211.57950084637653,0.7231812577065352,0.7113100592090279,
context_aware,PCA (2-d),1,-0.028633682057261467,3.231091636390895,633.7370283565037,,,0.8927758032929571
context_aware,t-SNE (2-d),5,0.10551881045103073,2.420816320437079,521.6018715277951,,,0.990019529938294
context_aware,UMAP (2-d),5,0.09132180660963059,4.582023155319515,460.37719598481635,,,0.9862255026685286
