model,space,n_seeds,silhouette,davies_bouldin,calinski_harabasz,knn_acc,knn_macro_f1,trustworthiness
pretrained,ORIGINAL (1024-d),1,-0.15524131059646606,12.326646980964126,51.091481667650804,0.5609195402298851,0.27309589037039006,
pretrained,PCA (2-d),1,-0.204546257853508,12.591348283975282,58.1436981552764,,,0.9289407965125165
pretrained,t-SNE (2-d),5,-0.10678604543209076,9.929628791552034,41.637365901001445,,,0.9826347659985128
pretrained,UMAP (2-d),5,-0.1553665965795517,16.36638033590869,47.942610161090855,,,0.9750815968645729
single_ft,ORIGINAL (1024-d),1,0.05596590414643288,4.614290986416781,87.7492439865889,0.6402298850574712,0.44117310477155336,
single_ft,PCA (2-d),1,0.061652664095163345,10.30267625083663,246.89052100924957,,,0.8231739407485182
single_ft,t-SNE (2-d),5,-0.022518539801239967,5.435680464031661,186.6712093256304,,,0.9616920940185139
single_ft,UMAP (2-d),5,-0.03662371262907982,5.759285737158634,156.11192940108384,,,0.9416013095783965
context_aware,ORIGINAL (1024-d),1,0.0487731397151947,4.013981586030343,99.14257037439442,0.6651340996168582,0.482268597562548,
context_aware,PCA (2-d),1,0.03967806696891785,8.68527435673216,247.8037037567243,,,0.836336178284597
context_aware,t-SNE (2-d),5,0.009566164389252663,10.548975626938237,230.2657983627571,,,0.9783395083469377
context_aware,UMAP (2-d),5,0.02845160663127899,13.185374519863142,232.23681604033217,,,0.9535255672735353
